Cainta To Kalibo (Round Trip),,,,,
Budget per motorcycle,Distance(km),Price(php),Remarks,Means,
1. Cainta to Batangas port,113,113,,Land,
2. Batangas port to Calapan,80,929,Solo Rider,Roro(Montenegro Lines),
3. Batangas port to Calapan,80,1199,With Angkas,Roro(Montenegro Lines),
4. Calapan port to Roxas Port,128,128,,Land,
5. Roxas Port to Caticlan Port,140,2243,With Angkas,Roro(Montenegro Lines),
6. Roxas Port to Caticlan Port,140,1793,Solo Rider,Roro(Montenegro Lines),
7. Caticlan Port to Kalibo,68,68,,Land,
With Angkas,,3751,Roro,3442,ONE-WAY
Solo Rider,,3031,,2722,
With Angkas,,7502,Roro,6884,ROUNDTRIP
Solo Rider,,6062,,5444,
